iter	Passed	Remaining
558	31101	24536
559	31161	24483
560	31219	24430
561	31289	24385
562	31346	24331
563	31399	24273
564	31456	24218
565	31504	24157
566	31558	24100
567	31611	24042
568	31665	23985
569	31720	23929
570	31776	23874
571	31830	23817
572	31883	23759
573	31936	23702
574	31989	23644
575	32041	23585
576	32095	23529
577	32149	23472
578	32202	23415
579	32255	23357
580	32306	23298
581	32350	23234
582	32404	23177
583	32461	23123
584	32506	23059
585	32560	23003
586	32615	22947
587	32666	22888
588	32719	22831
589	32773	22774
590	32829	22719
591	32901	22675
592	32952	22616
593	33006	22559
594	33102	22532
595	33153	22472
596	33232	22433
597	33293	22381
598	33370	22340
599	33433	22289
600	33494	22236
601	33554	22183
602	33623	22136
603	33671	22076
604	33781	22055
605	33859	22014
606	33913	21957
607	33965	21898
608	34014	21838
609	34068	21781
610	34125	21726
611	34178	21668
612	34226	21607
613	34276	21548
614	34330	21491
615	34382	21433
616	34431	21373
617	34487	21317
618	34542	21261
619	34588	21199
620	34642	21142
621	34695	21085
622	34745	21025
623	34799	20968
624	34853	20912
625	34914	20859
626	34966	20801
627	35021	20745
628	35070	20685
629	35126	20630
630	35182	20574
631	35236	20517
632	35290	20460
633	35346	20405
634	35397	20346
635	35452	20290
636	35502	20231
637	35556	20174
638	35612	20118
639	35665	20061
640	35718	20004
641	35773	19948
642	35826	19891
643	35880	19834
644	35935	19778
645	35981	19717
646	36033	19659
647	36087	19603
648	36135	19543
649	36188	19485
650	36241	19429
651	36292	19370
652	36347	19314
653	36401	19258
654	36456	19202
655	36510	19145
656	36562	19088
657	36613	19029
658	36668	18974
659	36722	18917
660	36776	18861
661	36831	18805
662	36881	18746
663	36939	18692
664	36991	18634
665	37042	18576
666	37096	18520
667	37151	18464
668	37204	18407
669	37259	18351
670	37314	18295
671	37370	18240
672	37425	18184
673	37481	18129
674	37534	18072
675	37590	18016
676	37644	17960
677	37698	17903
678	37751	17847
679	37805	17790
680	37863	17736
681	37926	17684
682	37978	17626
683	38033	17570
684	38084	17513
685	38142	17458
686	38198	17403
687	38250	17345
688	38303	17289
689	38354	17231
690	38407	17174
691	38463	17119
692	38517	17063
693	38569	17006
694	38620	16948
695	38670	16890
696	38722	16833
697	38776	16777
698	38828	16720
699	38885	16665
700	38939	16608
701	38993	16552
702	39047	16496
703	39099	16439
704	39151	16382
705	39203	16325
706	39258	16269
707	39310	16212
